,tweet_RER_B,heure_du_tweet
280,timpe non parce que là ratp c ’ est juste les métros et le rer a et b le reste c ’ est sncf,2020-12-05 23:26:24
281,"incident en gare du nord : trafic interrompu sur le rer b et le rer d , fortes perturbations rt ffranouche",2020-12-05 19:41:20
282,usagersidf tout à fait d ’ accord : un bus en site propre cadencé sur la fréquentation serait suffisant et acce …,2020-12-05 09:38:40
283,lambert75 rer b sud c ' est lamentable,2020-12-05 09:26:17
284,dites vous hier je devais descendre au blanc - mesnil je me suis trompé de rer b je suis allé à charles - de - gaulle c ’ était un direct imaginez 🥲,2020-12-05 09:01:09
285,les joies du rer b,2020-12-04 22:58:05
286,"ⓑ - panne d ' un train ☞ vendredi 4 décembre 2020 à 17h00 , en raison d ' un train en panne , le trafic est perturbé de …",2020-12-04 16:03:51
287,ce bon vieux rer b,2020-12-04 15:12:33
288,na mais attend j ' vien de réfléchir t ' as pris ta pdp dans le rer b ou j ' reve ?,2020-12-04 12:03:41
289,le meilleur rer c ’ est vraiment le b,2020-12-04 11:06:32
290,le rer b ça fait 1 semaine il est à l ’ approche fout la haine,2020-12-04 09:53:55
291,"ⓑ - travaux ( 1 ) ☞ ( rer b ) à partir du 04 / 12 / 20 , le trafic sera interrompu entre aulnay et aeroport charles de gau …",2020-12-04 09:04:40
292,"tm seuls ceux qui prennent le rer b peuvent devenir champions sur tm , regardes le grand",2020-12-04 08:25:31
293,papou j ' préférais être dans mon lit qu ' en train d ' attendre mon rer b à châtelet n ' empêche,2020-12-04 07:14:09
294,le rer b si y ’ a pas un problème par jour ils meurent,2020-12-04 06:36:34
295,rer b et d c ' est clairement les portes des enfers !!!!,2020-12-09 09:02:59
296,- bilancirculations du mardi 08 / 12 / 2020 sur le réseau transilien : ➞ retard record : 1h12 ( rer b ) ponctualité …,2020-12-09 08:45:28
297,la photo dans le rer b ++++++,2020-12-09 08:30:31
298,de quel droit vous m ' affirmez que je ne prends pas le métro ? et comme p …,2020-12-09 07:37:10
299,je ne travaille pas dans le 16eme je parle du métro je ne connais pas l …,2020-12-09 07:35:43
300,le rer b vide à 8h sah quel plaisir,2020-12-09 06:59:22
301,jss dans le rer b y a mieux comme réveil quand mm,2020-12-09 06:12:29
302,jss dans le rer b et tu te plains ?,2020-12-09 06:12:00
303,un suicide à villeparisis provoque de grosses perturbations sur le rer b entre aulnay - sous - bois et mitry - claye …,2020-12-08 22:15:45
304,un suicide à villeparisis provoque de grosses perturbations sur le rer b entre aulnay - sous - bois et mitry - claye,2020-12-08 22:14:38
305,evry à les ulis . ça prend 28 min par voiture mais 2h par train s ’ il y a aucune interruption . faut changer rer d -& gt ;…,2020-12-08 21:27:56
306,evry à les ulis . ça prend 28 min par voiture mais 2h par train sans interruption . faut changer rer d -& amp ; gt ; rer c -& amp ;…,2020-12-08 21:24:06
307,"bonsoir il n ’ y a ni accident , ni incident c ’ est le chantier de cdg qui commence à 21h et les responsables de …",2020-12-08 21:06:32
308,"ⓑ - accident de personne ☞ mardi 8 décembre 2020 à 21h14 , en raison d ' un accident grave de personne , le trafic es …",2020-12-08 20:16:38
309,"ⓑ - incident d ' exploitation ☞ mardi 8 décembre 2020 à 20h25 , en raison d ' un incident d ' exploitation , le trafic es …",2020-12-08 19:31:01
310,"les 3 jours de partiel la semaine prochaine , 3 jours consécutifs de réveil à 6h , de froid , 3 jours consécutifs de r …",2020-12-08 19:28:32
311,""" ohlala c ' est dur de prendre le rer "" grosse timpe , j ' ai dû prendre la a , b , c et d pour venir",2020-12-08 17:43:18
312,verrières le buisson pour un date . rer b jusqu ’ a antony + un bus pour finir la bad rt simonlecitron,2020-12-08 17:39:26
313,"blanc mesnil - nanterre plus de rer b . bus de remplacement , de surcroît téléphone sans batterie 3h de trajet pas …",2020-12-08 17:03:41
314,fuck le rer b vraiment . que des clochard dans ce putin de train,2020-12-08 16:37:42
315,le rer b en heure de pointe t ’ as vraiment peur,2020-12-08 16:33:09
316,en france on produit à la pelle des médailles fields mais les gamins sont derniers de la classe en mathématiques .…,2020-12-08 14:54:39
317,la première fois que j ’ ai été chez julien y ’ a un mec qui s ’ est mit à fumer du crack dans le rer b devant nous j ’ éta …,2020-12-08 14:38:06
318,kelly je vous suggère d ’ être auditionnée non pas à l ’ assemblée nationale mais publiquement dans le rer b …,2020-12-08 12:50:36
319,"bon a cause du rer b , je vais peut être arriver en retard pour le 2eme jours de taff rt link8894",2020-12-08 09:11:38
320,pourquoi le rer b est rempli ? genre vous avez tous un taf la ? le chomage c ’ est un mythe pardonnez moi .,2020-12-08 07:59:13
321,ah ouais le rer b qui bande de bon matin c ' est carré,2020-12-08 07:59:03
322,"bonjour , sur l ’ application sncf il est indiqué qu ’ il y a aucun rer b en circulation . y a t - il bien des port r …",2020-12-08 05:52:09
323,rerb faride même niveau point de vue voyageur prendre de grosses valises pour les …,2020-12-07 20:39:14
324,nowplaying dexter goldberg trio - rer b rer b dexter goldberg trio,2020-12-07 18:43:02
325,ma phobie : rer b châtelet a drancy,2020-12-07 17:31:52
326,rerb faride excepté une meilleure desserte locale ( branche mitry à aéroport cdg ) ç …,2020-12-07 17:24:26
327,"ⓑ - signal d ' alarme ☞ lundi 7 décembre 2020 à 18h17 , en raison d ' un actionnement d ' un signal d ' alarme , le trafic …",2020-12-07 17:22:46
328,"️ en raison d ' un bagage oublié à quai , les trains ne marquent pas l ' arrêt en gare de luxembourg dans les deux sen …",2020-12-07 16:56:45
329,peray julien a ma connaissance si : “ le déraillement d ’ une rame d …,2020-12-07 16:52:50
330,m77 peray julien maintenant le rer b en question était visiblement en prov …,2020-12-07 16:49:30
331,m77 peray julien maintenant le rer b en question était visiblement en prov …,2020-12-07 16:47:43
332,azii le rer b c ’ est une glr,2020-12-07 16:45:57
333,"m77 peray julien étonnant , donc à brétigny - sur - orge , si le train roulait p …",2020-12-07 16:30:33
334,"4 / 5 itinéraires alternatifs : pour vos trajets entre paris et le sud de la ligne , nous vous conseillons de p …",2020-12-07 16:15:19
335,bonjour je n ' arrive pas à savoir si le rer b fonctionne normalement demain . pouvez vous m ' aider svp et me dir …,2020-12-07 16:14:28
336,jupiterbis gov je répète souvent que c ' est l ' impérialisme qui engendre du terrorisme . je peux ajouter …,2020-12-07 15:55:13
337,la bas j etais perdu de base je prends le rer b,2020-12-07 15:47:47
338,"yoyo fr pour répondre à quel besoin ? de plus , le rer b sera connecté à la ligne 16 et à la 15 à terme",2020-12-07 13:34:04
339,grande inquiètude pour le rer b : la commande des nouveaux trains est menacée par la mauvaise volonté de la ratp et …,2020-12-07 12:06:22
340,j ’ ai rer a + rer b,2020-12-07 12:05:01
341,fallu encore attendre une procédure d appel d offre et attendre la mise en industrie qui intervient que maintenant …,2020-12-07 10:12:10
342,"tiens , y a ni auber rer a , ni les halles rer b poke",2020-12-07 10:10:35
343,"franchement monsieur , vous qui êtes de saint denis vous pouvez remercier la région , rer …",2020-12-07 09:39:56
344,pouvez - vous mettre un lien qui fonctionne ..... le rer b un laxisme depuis des années nous pouvons r …,2020-12-07 09:07:52
345,,2020-12-07 08:18:43
346,vari cdg express va avoir des conséquences sur les usagers du rer b . ça on s ’ en doute car sncf réseau a tou …,2020-12-06 23:45:44
347,transports en ile - de - france : avis de tempête sur le rer b - le parisien,2020-12-06 22:23:09
348,rerb faride c ' est vrai mais le temps de parcours a pris cher au fil des ans surtou …,2020-12-06 22:01:27
349,"jb bah y ' a pas rien là , y ' a au moins deux options . on peut …",2020-12-06 21:10:37
350,transports en ile - de - france : avis de tempête sur le rer b - le parisien,2020-12-06 19:38:03
351,,2020-12-06 17:10:49
352,le rer b c ’ est grv dla merde mais il me manque quand même,2020-12-06 16:43:42
353,"« par exemple , le pont de soissons , à saint - denis , doit être refait pour accueillir le cdg express , mais aussi les …",2020-12-06 16:27:03
354,,2020-12-06 16:25:14
355,"« par exemple , le pont de soissons , à saint - denis , doit être refait pour accueillir le cdg express , mais aussi les …",2020-12-06 16:24:44
356,transports en ile - de - france : avis de tempête sur le rer b ️,2020-12-06 16:15:53
357,"je prend le rer b , all my ptsd are coming back to me",2020-12-06 13:10:50
358,rer b,2020-12-06 10:33:57
359,merci aux idiots qui ont fait couler le projet cdg express .,2020-12-11 14:44:52
360,jsp pour vous mais je viens de finir une partie candy crush a 600 millions de score ptdr chui reste agrippé sur mo …,2020-12-11 14:39:29
361,"quand je suis arrivé à paris , en 1982 , ce rer b , dont le tronçon central venait d ' être ouvert , semblait une merveil …",2020-12-11 14:08:37
362,les opposants au cdgexpress ont réussi ... à bloquer la modernisation du rer b ! chapeau ! quand des populistes vi …,2020-12-11 14:08:07
363,"quand je suis arrivé à paris , en 1982 , ce rer b , dont le tronçon central venait d ' être ouvert , semblait une merveil …",2020-12-11 14:06:50
364,est - ce là ( encore ) une fâcheuse conséquence pour les usagers du dogmatisme de certains élus et / ou associations ??…,2020-12-11 14:01:44
365,grand paris : la modernisation du rer b menacée,2020-12-11 13:58:16
366,"pas sortis de l ’ auberge , selon ⁦⁩",2020-12-11 12:26:20
367,on peut aussi ajouter à ce constat que la puissance publique ne sait / peut plus se mettre en exécution ( pas uniqueme …,2020-12-11 11:51:23
368,"j ' ai pas accès à l ' article , mais le ton laisse penser que si le chantier du cdg express est arrêté ,…",2020-12-11 11:21:01
369,"alors bien sûr , on peut regretter l ' imbrication des travaux , probablement trop inextricable pour être honnête . mais …",2020-12-11 11:20:56
370,grand paris : la modernisation du rer b menacée | par via,2020-12-11 11:14:01
371,"le lobby cdgexpress et aéroports de paris ( adp ), le gestionnaire d ’ infrastructure , s ' assoient sur la décision du t …",2020-12-11 11:12:09
372,j ' avais dit quoi ? taper sur le cdg express n ' aide pas le rer b ...,2020-12-11 11:09:06
373,grand paris : la modernisation du rer b menacée via,2020-12-11 11:07:09
374,samsoen placer la santé avant la culture c ' est de l …,2020-12-11 10:53:01
375,les effets de la pilule empoisonnée du cdg express sur le rerb bien décrits ici . nous dénonçons depuis des années …,2020-12-11 10:46:49
376,soyons demain à 14h30 pour manifester contre les lois liberticides et contre l ' islamophobie …,2020-12-11 10:43:09
377,encommun on voit qu ' elle prend pas la ligne 4 et le rer b tous les matins .,2020-12-11 07:45:44
378,amis cyclistes usagés du rer b de ! n ' ayez plus plus peur pour votre beau vélo . abonnez - vous au pa …,2020-12-11 06:40:30
379,"je suis dans le rer b actuellement , donc non , je ne le sens pas seule ... pas de risque ! mais un mètre de di …",2020-12-11 06:40:28
380,le rer b obligé c ’ est un capricorne . il est là il fait des phases alors qu ’ il est même pas encore 8h,2020-12-11 06:30:15
381,"jb rerb bonjour , alors que la commande des nouvelles rames de rer b n ' est …",2020-12-11 06:05:32
382,de meme rer b,2020-12-10 22:11:19
383,"rediff tous les trains du rer b renouvelés pour 2 , 5 milliards d ’ euros",2020-12-10 21:09:21
384,paris hidalgo …,2020-12-10 21:09:11
385,"ben oui , ton abonnement premium rer b finit par faire des envieux",2020-12-10 20:54:11
386,,2020-12-10 19:45:08
387,transilien …,2020-12-10 17:53:58
388,paris hidalgo …,2020-12-10 17:15:51
389,paris hidalgo …,2020-12-10 17:04:51
390,"dites vous thomas il a répondu au sondage d ’ un mec ratp , en « ponctualité du rer b » il a mis 10 / 10 , 0 vanne ce mec dort la nuit",2020-12-10 15:54:30
391,nous avons signalé hier en cm que de blr risquait d ' être déconnectée de la future ligne b du rer v …,2020-12-10 15:40:47
392,paris hidalgo …,2020-12-10 15:38:31
393,r94 hidalgo belliard alors il me semble …,2020-12-10 15:07:54
394,"non vraiment si on compte pas les vrai trajet massy chanteloup frere , ligne j , rer a apres rer b pendant les grèves …",2020-12-10 13:57:17
395,je suis dans le rer b je le déteste,2020-12-10 13:53:35
396,asselineau mais c ' est c ' est tout les jours et presque partout antony 92 rer b a 8h15 le quai est plein et le train arrive plein,2020-12-10 12:52:54
397,""" ile - de - france mobilités va renouveler tous les trains du rer b pour 2 , 5 milliards d ’ euros "" ( via ) …",2020-12-10 12:45:09
398,"ⓑ - bagage oublié ☞ jeudi 10 décembre 2020 à 10h51 , en raison d ' un bagage oublié , le trafic est perturbé entre le …",2020-12-10 09:56:08
399,il est 10h38 ça sent le saussiflard dans le rer b,2020-12-10 09:39:11
400,st remy rer …,2020-12-10 08:48:48
401,"ouille non , moi ce n ’ est plus que sur le rer b que je conduis désormais . point de vue dégâts ... vaut mieux qu …",2020-12-10 08:40:30
402,la vdm ya encore des problème sur le rer b c le train de l ' enfer jpp,2020-12-10 08:40:15
403,aéroport cdg - paris 15e avec le rer b fermé ( donc détour ) sah ce jour là je suis parti en expédition rt isma gir75,2020-12-10 07:59:00
404,aéroport cdg - paris 15e avec le rer b fermé ( donc détour ) sah ce jour là je suis parti en expédition,2020-12-10 07:56:55
405,wsh le rer b il est vla pressé ce matin,2020-12-10 07:38:29
406,bonne nouvelle pour le rer b ! rerb,2020-12-10 07:29:46
407,île - de - france mobilités a voté mercredi le renouvellement de tous les trains de la ligne b du rer . il va cependan …,2020-12-10 07:25:17
408,île - de - france mobilités a voté mercredi le renouvellement de tous les trains de la ligne b du rer . il va cependan …,2020-12-10 07:25:16
409,moi : il faut que j ' arrive tôt au boulot le rer b : en fait non,2020-12-10 07:11:45
410,si chaque jours y ’ a pas un problème sur le rer d et b les gens meurent ou c ’ est comment vraiment courage ceux qui …,2020-12-10 07:04:52
411,"hier soir , rer b et d . entre la plaine et gare de lyon . panne sur le b . des centaines d ' usagers électeu …",2020-12-10 06:53:43
412,"fr hier soir , rer b et d . entre la plaine et gare de lyon . panne sur le b . des centaines d ' usagers électe …",2020-12-10 06:51:38
413,,2020-12-10 06:35:14
414,transports franciliens : de nouvelles rames pour remplacer tous les vieux trains du rer b,2020-12-09 20:03:01
415,""" ile - de - france mobilités va renouveler tous les trains du rer b pour 2 , 5 milliards d ’ euros (",2020-12-09 19:57:05
416,"dites vous thomas il a répondu au sondage d ’ un mec ratp , en « ponctualité du rer b » il a mis 10 / 10 , 0 vanne ce mec dort la nuit",2020-12-10 15:54:30
417,nous avons signalé hier en cm que de blr risquait d ' être déconnectée de la future ligne b du rer v …,2020-12-10 15:40:47
418,paris hidalgo …,2020-12-10 15:38:31
419,r94 hidalgo belliard alors il me semble …,2020-12-10 15:07:54
420,"non vraiment si on compte pas les vrai trajet massy chanteloup frere , ligne j , rer a apres rer b pendant les grèves …",2020-12-10 13:57:17
421,je suis dans le rer b je le déteste,2020-12-10 13:53:35
422,asselineau mais c ' est c ' est tout les jours et presque partout antony 92 rer b a 8h15 le quai est plein et le train arrive plein,2020-12-10 12:52:54
423,""" ile - de - france mobilités va renouveler tous les trains du rer b pour 2 , 5 milliards d ’ euros "" ( via ) …",2020-12-10 12:45:09
424,"ⓑ - bagage oublié ☞ jeudi 10 décembre 2020 à 10h51 , en raison d ' un bagage oublié , le trafic est perturbé entre le …",2020-12-10 09:56:08
425,il est 10h38 ça sent le saussiflard dans le rer b,2020-12-10 09:39:11
426,st remy rer …,2020-12-10 08:48:48
427,"ouille non , moi ce n ’ est plus que sur le rer b que je conduis désormais . point de vue dégâts ... vaut mieux qu …",2020-12-10 08:40:30
428,la vdm ya encore des problème sur le rer b c le train de l ' enfer jpp,2020-12-10 08:40:15
429,aéroport cdg - paris 15e avec le rer b fermé ( donc détour ) sah ce jour là je suis parti en expédition rt isma gir75,2020-12-10 07:59:00
430,aéroport cdg - paris 15e avec le rer b fermé ( donc détour ) sah ce jour là je suis parti en expédition,2020-12-10 07:56:55
431,wsh le rer b il est vla pressé ce matin,2020-12-10 07:38:29
432,bonne nouvelle pour le rer b ! rerb,2020-12-10 07:29:46
433,île - de - france mobilités a voté mercredi le renouvellement de tous les trains de la ligne b du rer . il va cependan …,2020-12-10 07:25:17
434,île - de - france mobilités a voté mercredi le renouvellement de tous les trains de la ligne b du rer . il va cependan …,2020-12-10 07:25:16
435,moi : il faut que j ' arrive tôt au boulot le rer b : en fait non,2020-12-10 07:11:45
436,si chaque jours y ’ a pas un problème sur le rer d et b les gens meurent ou c ’ est comment vraiment courage ceux qui …,2020-12-10 07:04:52
437,"hier soir , rer b et d . entre la plaine et gare de lyon . panne sur le b . des centaines d ' usagers électeu …",2020-12-10 06:53:43
438,"fr hier soir , rer b et d . entre la plaine et gare de lyon . panne sur le b . des centaines d ' usagers électe …",2020-12-10 06:51:38
439,,2020-12-10 06:35:14
440,transports franciliens : de nouvelles rames pour remplacer tous les vieux trains du rer b,2020-12-09 20:03:01
441,""" ile - de - france mobilités va renouveler tous les trains du rer b pour 2 , 5 milliards d ’ euros (",2020-12-09 19:57:05
442,nowplaying dexter goldberg trio - rer b rer b dexter goldberg trio,2020-12-09 18:40:03
443,"tous les trains du rer b renouvelés pour 2 , 5 milliards d ’ euros",2020-12-09 18:14:35
444,"ça faisait longtemps que je m ’ étais pas plainte de la b . pire ligne de rer , ça change pas . y ’ a aucune raison que je …",2020-12-09 18:08:31
445,sncf je suis bloqué a ablon depuis 30 minute et le bus qui n ' arrive pas . auriez vous un plan b on est 10 a l …,2020-12-09 18:07:33
446,rerb st remy plusdetrains,2020-12-09 17:43:11
447,"saint placide - cdg , j ’ m ’ étais endormi dans le rer b apres le taff",2020-12-09 16:59:51
448,"tremblay - en - france jusqu ’ à massy , il a avais plus de rer b à cause des travaux , j ’ ai eu que des péripéties j ’ ai qui …",2020-12-09 16:40:59
449,"ile - de - france mobilités va renouveler tous les trains du rer b pour 2 , 5 milliards d ’ euros v …",2020-12-09 16:38:32
450,communiqué du groupe sur l ' échec de valérie pécresse pour le rer en idf : retard sur les projets des …,2020-12-09 16:23:01
451,"ⓑ - incident d ' exploitation ☞ mercredi 9 décembre 2020 à 17h10 , en raison d ' un incident d ' exploitation , le trafic …",2020-12-09 16:13:50
452,une étape importante pour le rer b mais qui doit être confirmée rapidement . c ' est le sens de l ' amendement défendu p …,2020-12-09 15:26:11
453,"aulnay sous bois - st michel ( rer b ) ensuite st michel - st cheron ( 22 arrêts bien espacés , avec le rer c ) j ' ai cr …",2020-12-09 14:37:25
454,"aulnay sous bois - st michel ( rer b ) ensuite st michel - st cheron ( 22 arrêts bien espacés , avec le rer c ) j ' ai cr …",2020-12-09 14:35:58
455,"impossible , le rer b est notre allié dans notre mission pour vous informer au mieux n ' hésitez pa …",2020-12-09 12:55:58
456,le rer b laisse tomber tt le monde s ’ en fou,2020-12-09 11:24:36
